incineratorname,reportyear,generalwaste,bizgeneralwaste,incinprocqt
桃園市垃圾焚化廠,2004,381489.1,58412.52,438347.8
桃園市垃圾焚化廠,2003,382688.8,54969.78,436564
苗栗縣垃圾焚化廠,2021,146730.3,12622.55,156864.8
苗栗縣垃圾焚化廠,2020,149606.5,12573.41,161094.6
苗栗縣垃圾焚化廠,2019,150986.5,13485.24,164114.4
苗栗縣垃圾焚化廠,2018,152151.2,17796.53,167461.6
苗栗縣垃圾焚化廠,2017,150182.9,20104.66,167628.5
苗栗縣垃圾焚化廠,2016,149387.5,21940.96,168124.9
苗栗縣垃圾焚化廠,2015,155217.6,22699.98,170475.9
苗栗縣垃圾焚化廠,2014,150496.2,25907.77,171044.8
苗栗縣垃圾焚化廠,2013,137826.8,31994.12,165184.9
苗栗縣垃圾焚化廠,2012,134036.6,33293.32,166400.5
苗栗縣垃圾焚化廠,2011,136657.4,34634.35,163453.4
苗栗縣垃圾焚化廠,2010,146276.2,20099.72,157607.4
苗栗縣垃圾焚化廠,2009,163257,0,156632.8
苗栗縣垃圾焚化廠,2008,145954.2,0,133910.6
屏東縣崁頂垃圾資源回收(焚化)廠,2021,148651.6,122808,267923.4
屏東縣崁頂垃圾資源回收(焚化)廠,2020,150549.7,127401.3,274561.8
屏東縣崁頂垃圾資源回收(焚化)廠,2019,186748.3,68767.13,251041.1
屏東縣崁頂垃圾資源回收(焚化)廠,2018,221590.5,42493.48,253357.9
屏東縣崁頂垃圾資源回收(焚化)廠,2017,121247,36768.16,154707.5
屏東縣崁頂垃圾資源回收(焚化)廠,2016,134798.6,63646.83,204575
屏東縣崁頂垃圾資源回收(焚化)廠,2015,185470.6,56569.46,237002.5
屏東縣崁頂垃圾資源回收(焚化)廠,2014,184915.9,54093.95,221129.9
屏東縣崁頂垃圾資源回收(焚化)廠,2013,205951.9,48007.82,238907.5
屏東縣崁頂垃圾資源回收(焚化)廠,2012,202090,43763.76,237593.5
屏東縣崁頂垃圾資源回收(焚化)廠,2011,220468.7,45602.67,251974
屏東縣崁頂垃圾資源回收(焚化)廠,2010,218474.2,44772.22,253288
屏東縣崁頂垃圾資源回收(焚化)廠,2009,206275.3,38003.85,234025.4
屏東縣崁頂垃圾資源回收(焚化)廠,2008,190793.8,52175.22,239654.3
屏東縣崁頂垃圾資源回收(焚化)廠,2007,219840.5,55783.78,262281.3
屏東縣崁頂垃圾資源回收(焚化)廠,2006,228101.3,45348.76,261370
屏東縣崁頂垃圾資源回收(焚化)廠,2005,315162.7,16632.26,296549.5
屏東縣崁頂垃圾資源回收(焚化)廠,2004,240210,82311.57,282268.5
屏東縣崁頂垃圾資源回收(焚化)廠,2003,212123.3,73136.6,256684.6
宜蘭縣利澤垃圾資源回收(焚化)廠,2021,111834,85706.65,200913.3
宜蘭縣利澤垃圾資源回收(焚化)廠,2020,117386.3,80595.99,200291
宜蘭縣利澤垃圾資源回收(焚化)廠,2019,120183.8,82712.12,202111.2
宜蘭縣利澤垃圾資源回收(焚化)廠,2018,128998,74137.79,206548.9
宜蘭縣利澤垃圾資源回收(焚化)廠,2017,192149.1,16692.61,209904.1
宜蘭縣利澤垃圾資源回收(焚化)廠,2016,173102.4,47813.3,208992.1
宜蘭縣利澤垃圾資源回收(焚化)廠,2015,168900.6,55653.25,209380.2
宜蘭縣利澤垃圾資源回收(焚化)廠,2014,157794.8,57718.22,207237.9
宜蘭縣利澤垃圾資源回收(焚化)廠,2013,159905.8,60154.01,205014.9
宜蘭縣利澤垃圾資源回收(焚化)廠,2012,151022.7,66123.84,202728.5
宜蘭縣利澤垃圾資源回收(焚化)廠,2011,134976.6,77143.3,199732.2
宜蘭縣利澤垃圾資源回收(焚化)廠,2010,156807.5,63229.43,207902.6
宜蘭縣利澤垃圾資源回收(焚化)廠,2009,150901.6,65340.57,208524.1
宜蘭縣利澤垃圾資源回收(焚化)廠,2008,151609.7,52308.17,207651.3
宜蘭縣利澤垃圾資源回收(焚化)廠,2007,152526,58895.48,215105.8
宜蘭縣利澤垃圾資源回收(焚化)廠,2006,89788.29,47530.67,138798.6
