incineratorname,reportyear,generalwaste,bizgeneralwaste,incinprocqt
臺北市政府環境保護局內湖垃圾焚化廠,2011,58754.72,99758.32,157169
臺北市政府環境保護局內湖垃圾焚化廠,2010,51431.7,112937.4,161804.1
臺北市政府環境保護局內湖垃圾焚化廠,2009,49806.76,86617.32,141870.9
臺北市政府環境保護局內湖垃圾焚化廠,2008,71966,58220.49,133020.9
臺北市政府環境保護局內湖垃圾焚化廠,2007,82866.93,51331.22,141670.5
臺北市政府環境保護局內湖垃圾焚化廠,2006,77778.25,50026.8,134316.1
臺北市政府環境保護局內湖垃圾焚化廠,2005,81215.55,36765.99,127297.5
臺北市政府環境保護局內湖垃圾焚化廠,2004,80877.88,20851.38,95479.95
臺北市政府環境保護局內湖垃圾焚化廠,2003,117637.7,39421.13,144970
臺中市烏日資源回收廠,2021,243805.7,39460.05,280324.2
臺中市烏日資源回收廠,2020,247180.4,48115.57,299131.6
臺中市烏日資源回收廠,2019,249401.3,49685.28,292540.7
臺中市烏日資源回收廠,2018,252253.4,46216.34,292257.1
臺中市烏日資源回收廠,2017,259930.8,41546.1,299055.2
臺中市烏日資源回收廠,2016,212718.2,97259.72,297938.2
臺中市烏日資源回收廠,2015,207283.4,98109.79,299191
臺中市烏日資源回收廠,2014,212176.7,97039.33,302076.2
臺中市烏日資源回收廠,2013,214539.7,95553.53,299708.2
臺中市烏日資源回收廠,2012,190815.1,115102,293290.6
臺中市烏日資源回收廠,2011,201989.5,112201.1,301322
臺中市烏日資源回收廠,2010,202881.9,111465.5,303851
臺中市烏日資源回收廠,2009,225775.2,103787.4,305678.9
臺中市烏日資源回收廠,2008,204498.9,108358.7,299091.6
臺中市烏日資源回收廠,2007,201435.3,113006.9,300136.2
臺中市烏日資源回收廠,2006,204189.8,108629.6,302389.8
臺中市烏日資源回收廠,2005,186626.9,115014.2,286515.7
臺中市烏日資源回收廠,2004,58445.13,42361.85,100172.2
臺中市后里資源回收廠,2021,255176.4,17980.85,270788.3
臺中市后里資源回收廠,2020,271742.5,16807.98,287519.5
臺中市后里資源回收廠,2019,275832.9,17709.61,294665.7
臺中市后里資源回收廠,2018,271174.6,16866.79,286223.1
臺中市后里資源回收廠,2017,265110.5,16707.47,288445.5
臺中市后里資源回收廠,2016,211859.4,77560.22,285441.5
臺中市后里資源回收廠,2015,211484.8,77560.45,289723.1
臺中市后里資源回收廠,2014,213973.5,81557.59,296312.9
臺中市后里資源回收廠,2013,222446.6,77553.25,298751.3
臺中市后里資源回收廠,2012,218850.9,77554.99,291103.7
臺中市后里資源回收廠,2011,207394.5,81228.7,286911.4
臺中市后里資源回收廠,2010,213164.5,81427.9,293010.2
臺中市后里資源回收廠,2009,205972.7,77891.95,284666.4
臺中市后里資源回收廠,2008,203288.9,77667.82,278855.1
臺中市后里資源回收廠,2007,203121.1,81577.72,279005.4
臺中市后里資源回收廠,2006,205928.5,78168.3,273808.3
臺中市后里資源回收廠,2005,188870.3,78794.38,269103.1
臺中市后里資源回收廠,2004,188570.4,84153.04,272847.1
臺中市后里資源回收廠,2003,199715.5,80877.94,285254
臺中市文山垃圾焚化廠,2021,179635.6,19802.72,198398.4
臺中市文山垃圾焚化廠,2020,186596.1,7641.87,196306.3
臺中市文山垃圾焚化廠,2019,205489.9,7056.19,215412.7
臺中市文山垃圾焚化廠,2018,202213.3,5346.95,208886.6
臺中市文山垃圾焚化廠,2017,213149.3,6099.65,216437.7
臺中市文山垃圾焚化廠,2016,173166.5,49632.6,220488.2
臺中市文山垃圾焚化廠,2015,162180.2,53788.05,219089.9
臺中市文山垃圾焚化廠,2014,162503.1,63328.02,221518.1
臺中市文山垃圾焚化廠,2013,167178.5,53078.69,220459.7
臺中市文山垃圾焚化廠,2012,172365.3,45307.22,217028
臺中市文山垃圾焚化廠,2011,174361.3,48063.26,222948.1
臺中市文山垃圾焚化廠,2010,178345.8,50448.54,226441.7
臺中市文山垃圾焚化廠,2009,178917.3,50705.11,227426.8
臺中市文山垃圾焚化廠,2008,157446.3,64781.77,234405.9
臺中市文山垃圾焚化廠,2007,174053.6,44714.37,220987.5
臺中市文山垃圾焚化廠,2006,180357.7,48723.53,227600.5
臺中市文山垃圾焚化廠,2005,168007,36277.84,215036.5
臺中市文山垃圾焚化廠,2004,199939.8,23966.02,219882.2
臺中市文山垃圾焚化廠,2003,221110,20640.73,228111
彰化縣溪州垃圾焚化廠,2021,284518,3377.72,291961.2
彰化縣溪州垃圾焚化廠,2020,277470.3,3463.18,281027
彰化縣溪州垃圾焚化廠,2019,284653.8,5135.49,286516.3
彰化縣溪州垃圾焚化廠,2018,284422.3,3918.93,287883.4
彰化縣溪州垃圾焚化廠,2017,275442,10176.88,281093.7
彰化縣溪州垃圾焚化廠,2016,269427.1,15001.29,289653.1
彰化縣溪州垃圾焚化廠,2015,252620.1,14398.93,265954.2
彰化縣溪州垃圾焚化廠,2014,252260,27520.86,269978.4
彰化縣溪州垃圾焚化廠,2013,235863,35143.69,266537.4
彰化縣溪州垃圾焚化廠,2012,244106.4,32531.5,272641.8
彰化縣溪州垃圾焚化廠,2011,269117.4,32735.23,288855.6
彰化縣溪州垃圾焚化廠,2010,271859.8,35412.89,291860.2
彰化縣溪州垃圾焚化廠,2009,258038.8,32705.06,292269.1
彰化縣溪州垃圾焚化廠,2008,231727.8,40418.67,281786.8
彰化縣溪州垃圾焚化廠,2007,247752.7,50677.32,278097.7
彰化縣溪州垃圾焚化廠,2006,240638.7,36990.96,266176.8
彰化縣溪州垃圾焚化廠,2005,263599.7,32993.49,278171.2
彰化縣溪州垃圾焚化廠,2004,265969.5,22978.99,274840.7
彰化縣溪州垃圾焚化廠,2003,269552.3,21529.45,277812
嘉義縣鹿草垃圾焚化廠,2021,215075.4,69323.29,286514.6
嘉義縣鹿草垃圾焚化廠,2020,219699.3,66449.04,292586.5
嘉義縣鹿草垃圾焚化廠,2019,214233.1,69322,286300.2
嘉義縣鹿草垃圾焚化廠,2018,239586,54775.02,293240.5
嘉義縣鹿草垃圾焚化廠,2017,247689.8,31716.12,281600.2
嘉義縣鹿草垃圾焚化廠,2016,157053.7,121623,279566.7
嘉義縣鹿草垃圾焚化廠,2015,159883.4,123958.8,282883.9
嘉義縣鹿草垃圾焚化廠,2014,159398.6,121554.9,279516.5
嘉義縣鹿草垃圾焚化廠,2013,162482.8,121551.4,282981.7
嘉義縣鹿草垃圾焚化廠,2012,170369.3,121614.5,290591
嘉義縣鹿草垃圾焚化廠,2011,171739.3,121568,290990.3
