工廠名稱,工廠市鎮鄉村里,工廠組織型態,工廠登記核准年分,工廠登記狀態,產業類別,主要產品
猛達工業股份有限公司二廠,彰化縣埔鹽鄉南新村,股份有限公司,109年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
金吉士有限公司,高雄市大寮區會結里,有限公司,108年,生產中,09飲料製造業,092非酒精飲料
日紅實業股份有限公司二廠,桃園市龜山區兔坑里,股份有限公司,83年,生產中,11紡織業,114染整
百豐傳牧場,臺南市麻豆區北勢里,獨資,109年,生產中,08食品製造業,081肉類加工
東鎮精機股份有限公司,新北市三重區中興里,股份有限公司,71年,生產中,29機械設備製造業、25金屬製品製造業、28電力設備及配備製造業,259其他金屬製品、293通用機械設備、291金屬加工用機械設備、251金屬刀具、手工具及模具、283電線及配線器材、289其他電力設備及配備
隆得興實業有限公司,臺中市大里區日新里,有限公司,109年,生產中,25金屬製品製造業,252金屬結構及建築組件
誼田工業股份有限公司,新北市新莊區西盛里,股份有限公司,109年,生產中,30汽車及其零件製造業、31其他運輸工具及其零件製造業,303汽車零件、312機車及其零件
鑫茂實業有限公司,臺中市大里區金城里,有限公司,109年,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製
金翊勝精密工業有限公司,新北市新莊區西盛里,有限公司,109年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
百納康健生技股份有限公司,臺中市西屯區協和里,股份有限公司,101年,生產中,09飲料製造業,092非酒精飲料
聯翔汽車有限公司(斗南廠),雲林縣斗南鎮小東里,有限公司,109年,生產中,30汽車及其零件製造業,303汽車零件
詠慶鋼鐵有限公司,嘉義縣民雄鄉大崎村,有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
凱柏登實業股份有限公司,嘉義縣民雄鄉福權村,股份有限公司,109年,生產中,32家具製造業,321非金屬家具
振楠交通工程有限公司鹿港廠,彰化縣鹿港鎮洋厝里,有限公司,109年,生產中,22塑膠製品製造業,220塑膠製品
庚鋐有限公司二廠,彰化縣秀水鄉馬興村,有限公司,109年,生產中,22塑膠製品製造業、33其他製造業、32家具製造業、31其他運輸工具及其零件製造業,220塑膠製品、331育樂用品、321非金屬家具、313自行車及其零件
久皇機械股份有限公司,彰化縣秀水鄉莊雅村,股份有限公司,109年,生產中,25金屬製品製造業,253金屬容器
輝吉企業有限公司,彰化縣秀水鄉安溪村,有限公司,109年,生產中,30汽車及其零件製造業、31其他運輸工具及其零件製造業,303汽車零件、312機車及其零件
金勝發衛浴實業有限公司,彰化縣鹿港鎮廖厝里,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
全侑企業社,新北市樹林區坡內里,獨資,109年,生產中,11紡織業,111紡紗
高軒企業股份有限公司(一廠),雲林縣斗南鎮將軍里,股份有限公司,109年,生產中,25金屬製品製造業,252金屬結構及建築組件
美帥化學股份有限公司,臺南市南區彰南里,股份有限公司,107年,生產中,19其他化學製品製造業,193清潔用品及化粧品
鈦原消防工業有限公司,高雄市仁武區竹後里,有限公司,110年,生產中,29機械設備製造業,293通用機械設備
佳南實業社,臺南市新化區唪口里,獨資,109年,生產中,11紡織業,111紡紗
雲晉紡織股份有限公司,彰化縣線西鄉寓埔村,股份有限公司,73年,生產中,11紡織業,112織布
泰勝機械股份有限公司二廠,彰化縣和美鎮嘉寶里,股份有限公司,109年,生產中,29機械設備製造業,292其他專用機械設備
玖貿企業股份有限公司二廠,彰化縣花壇鄉橋頭村,股份有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
峪豐機械工業股份有限公司,臺南市安南區布袋里,股份有限公司,109年,生產中,29機械設備製造業,292其他專用機械設備
益壯企業有限公司,新北市新莊區福基里,有限公司,93年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
生隆企業社,高雄市阿蓮區青旗里,合夥,109年,生產中,25金屬製品製造業,259其他金屬製品
員林正泰鋼鐵行,彰化縣員林市三條里,獨資,109年,生產中,25金屬製品製造業,252金屬結構及建築組件
富山企業行,高雄市湖內區海埔里,合夥,109年,生產中,08食品製造業,087動物飼品
力尹食品有限公司,新北市汐止區中興里,有限公司,102年,生產中,08食品製造業,089其他食品
長鎰織帶有限公司,彰化縣伸港鄉定興村,有限公司,109年,生產中,11紡織業,115紡織品
旺暉螺絲企業有限公司,新北市板橋區成和里,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
明宏塑膠有限公司,彰化縣二林鎮頂厝里,有限公司,69年,生產中,22塑膠製品製造業,220塑膠製品
俊鳴精密工業股份有限公司,新北市新莊區化成里,股份有限公司,100年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、259其他金屬製品、293通用機械設備
江陵機電股份有限公司楊梅五廠-木工廠,桃園市楊梅區高山里,股份有限公司,109年,生產中,14木竹製品製造業、32家具製造業,140木竹製品、321非金屬家具
上順水泥製品企業股份有限公司二廠,高雄市大寮區潮寮里,股份有限公司,109年,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品
漢民測試系統股份有限公司,新竹市東區埔頂里,股份有限公司,98年,生產中,29機械設備製造業,292其他專用機械設備
復盛精密工業股份有限公司竹科一廠,新竹縣寶山鄉,股份有限公司,90年,生產中,26電子零組件製造業、25金屬製品製造業,269其他電子零組件、254金屬加工處理
鋒運實業有限公司,新北市三重區永福里,有限公司,109年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具、259其他金屬製品
建璋機械工程有限公司一廠,高雄市林園區文賢里,有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
凱撒床業股份有限公司,彰化縣埔鹽鄉瓦村,股份有限公司,97年,生產中,32家具製造業,321非金屬家具
中國化學製藥股份有限公司新豐工廠,新竹縣新豐鄉上坑村,股份有限公司,86年,生產中,20藥品及醫用化學製品製造業,200藥品及醫用化學製品
德乙企業股份有限公司,基隆市安樂區內寮里,股份有限公司,103年,生產中,30汽車及其零件製造業、30汽車及其零件製造業、33其他製造業,303汽車零件、332醫療器材及用品
泰癸車業有限公司二廠,彰化縣芬園鄉溪頭村,有限公司,102年,生產中,31其他運輸工具及其零件製造業,313自行車及其零件
巨昊科技股份有限公司仁德廠,臺南市仁德區仁義里,股份有限公司,109年,生產中,29機械設備製造業,293通用機械設備
鈿峰工業股份有限公司二廠,高雄市大寮區後庄里,股份有限公司,109年,生產中,25金屬製品製造業,252金屬結構及建築組件
協治企業股份有限公司新營廠,臺南市新營區太北里,股份有限公司,109年,生產中,22塑膠製品製造業,220塑膠製品
永大木箱行,桃園市龜山區福源里,獨資,109年,生產中,14木竹製品製造業,140木竹製品
遠泰金屬實業有限公司,臺中市太平區宜欣里,有限公司,109年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具、259其他金屬製品
天利工業有限公司秀水廠,彰化縣秀水鄉義興村,有限公司,110年,生產中,25金屬製品製造業,259其他金屬製品
明炫精密化學股份有限公司台南廠,臺南市柳營區大農里,股份有限公司,102年,生產中,18化學材料及肥料製造業、19其他化學製品製造業、23非金屬礦物製品製造業,181化學原材料、199未分類其他化學製品、239其他非金屬礦物製品
施新和織帶有限公司,彰化縣和美鎮嘉寶里,有限公司,109年,生產中,11紡織業,115紡織品
崇濬科技股份有限公司竹南廠,苗栗縣竹南鎮大厝里,股份有限公司,109年,生產中,28電力設備及配備製造業,289其他電力設備及配備
良宇工業有限公司,苗栗縣頭份市蘆竹里,有限公司,109年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
共群有限公司,臺中市太平區太平里,有限公司,106年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具、259其他金屬製品
兆億實業有限公司,彰化縣和美鎮南佃里,有限公司,109年,生產中,22塑膠製品製造業,220塑膠製品
連進捲門工程有限公司,桃園市平鎮區東勢里,有限公司,111年,生產中,25金屬製品製造業,252金屬結構及建築組件
任城有限公司工廠,彰化縣埔鹽鄉好修村,有限公司,109年,生產中,25金屬製品製造業,252金屬結構及建築組件
中濱企業股份有限公司,高雄市楠梓區稔田里,股份有限公司,109年,生產中,29機械設備製造業,292其他專用機械設備
易?金屬材料有限公司,桃園市龍潭區烏林里,有限公司,105年,生產中,25金屬製品製造業,254金屬加工處理
大河科技有限公司,臺南市善化區小新里,有限公司,109年,生產中,29機械設備製造業,292其他專用機械設備
豐年豐和企業股份有限公司上崙二廠,臺南市仁德區上崙里,股份有限公司,82年,生產中,08食品製造業,086碾榖、磨粉及澱粉製品、089其他食品
中國鋼鐵結構股份有限公司官田二廠,臺南市官田區二鎮里,股份有限公司,109年,生產中,25金屬製品製造業,252金屬結構及建築組件
譯倫工業有限公司,臺中市太平區太平里,有限公司,95年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、259其他金屬製品、293通用機械設備
台灣日華化學工業股份有限公司,桃園市觀音區大潭里,股份有限公司,101年,生產中,19其他化學製品製造業,199未分類其他化學製品
巧莨興業有限公司,彰化縣鹿港鎮海埔里,有限公司,102年,生產中,11紡織業,115紡織品
