工廠名稱,工廠市鎮鄉村里,工廠組織型態,工廠登記核准年分,工廠登記狀態,產業類別,主要產品
鴻昌工業股份有限公司,臺中市南屯區寶山里,股份有限公司,73年,生產中,22塑膠製品製造業,220塑膠製品
翰享實業股份有限公司小港廠,高雄市小港區小港里,股份有限公司,110年,生產中,12成衣及服飾品製造業,121成衣
建輻慶企業股份有限公司,新北市鶯歌區中湖里,股份有限公司,85年,生產中,30汽車及其零件製造業,303汽車零件
三金農業科技股份有限公司,南投縣名間鄉仁和村,股份有限公司,104年,生產中,08食品製造業,081肉類加工
一興化學工業有限公司,新竹縣湖口鄉鳳凰村,有限公司,77年,生產中,19其他化學製品製造業,199未分類其他化學製品
紀福自動化科技有限公司,臺中市烏日區北里里,有限公司,90年,生產中,29機械設備製造業,291金屬加工用機械設備、293通用機械設備
詳升企業有限公司工廠,臺中市大里區樹王里,有限公司,87年,生產中,29機械設備製造業,293通用機械設備
佑鑫鋁玻工程有限公司,彰化縣伸港鄉全興村,有限公司,110年,生產中,25金屬製品製造業,252金屬結構及建築組件、259其他金屬製品
冠旭企業有限公司,雲林縣斗六市長安里,有限公司,109年,生產中,22塑膠製品製造業,220塑膠製品
明基材料股份有限公司雲科製造三廠,雲林縣斗六市虎溪里,股份有限公司,109年,生產中,33其他製造業,332醫療器材及用品
建瑋棉織有限公司,雲林縣斗六市溪洲里,有限公司,109年,生產中,11紡織業,114染整
仁湧紡織股份有限公司,桃園市楊梅區埔心里,股份有限公司,63年,生產中,11紡織業,111紡紗
詠湛企業有限公司,彰化縣秀水鄉義興村,有限公司,106年,生產中,15紙漿、紙及紙製品製造業,152瓦楞紙板及紙容器
三通五金工業社二廠,彰化縣彰化市東芳里,獨資,110年,生產中,25金屬製品製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,259其他金屬製品、303汽車零件、312機車及其零件、313自行車及其零件
緯虹有限公司二廠,嘉義縣溪口鄉柴林村,有限公司,109年,生產中,32家具製造業,321非金屬家具、322金屬家具
眾煒企業有限公司,新北市汐止區,有限公司,107年,生產中,25金屬製品製造業、29機械設備製造業、27電腦、電子產品及光學製品製造業,251金屬刀具、手工具及模具、291金屬加工用機械設備、293通用機械設備、271電腦及其週邊設備
允成鐵工廠,臺東縣臺東市豐樂里,獨資,83年,生產中,25金屬製品製造業,252金屬結構及建築組件
宏昇精密工業有限公司,高雄市岡山區灣裡里,有限公司,110年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具、254金屬加工處理、259其他金屬製品
和健有限公司,新北市土城區員仁里,有限公司,99年,生產中,25金屬製品製造業,254金屬加工處理
仁劦材料股份有限公司,臺中市霧峰區坑口里,股份有限公司,108年,生產中,21橡膠製品製造業、22塑膠製品製造業,210橡膠製品、220塑膠製品
橙采科技股份有限公司,桃園市大溪區美華里,股份有限公司,110年,生產中,29機械設備製造業,293通用機械設備
恆陽科技有限公司,屏東縣萬丹鄉社上村,有限公司,101年,生產中,22塑膠製品製造業、22塑膠製品製造業,220塑膠製品
富山石礦企業股份有限公司,花蓮縣秀林鄉景美村,股份有限公司,62年,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品
明哲股份有限公司,桃園市蘆竹區錦興里,股份有限公司,78年,生產中,27電腦、電子產品及光學製品製造業、28電力設備及配備製造業、29機械設備製造業,271電腦及其週邊設備、293通用機械設備、289其他電力設備及配備
茂傑股份有限公司,臺南市佳里區東寧里,股份有限公司,84年,生產中,28電力設備及配備製造業,289其他電力設備及配備
嘉毅有限公司,彰化縣埔心鄉芎蕉村,有限公司,110年,生產中,25金屬製品製造業、31其他運輸工具及其零件製造業、32家具製造業,259其他金屬製品、312機車及其零件、322金屬家具
宏開橡膠工業有限公司樹林廠,新北市樹林區北園里,有限公司,93年,生產中,21橡膠製品製造業,210橡膠製品
山王工業有限公司,新北市林口區東林里,有限公司,99年,生產中,25金屬製品製造業、31其他運輸工具及其零件製造業、28電力設備及配備製造業,259其他金屬製品、312機車及其零件、313自行車及其零件、284照明設備及配備
雅基科技股份有限公司,新北市新店區寶福里,股份有限公司,110年,生產中,28電力設備及配備製造業、26電子零組件製造業,281發電、輸電及配電機械、262被動電子元件
遠貿企業股份有限公司,臺中市神岡區社南里,股份有限公司,97年,生產中,22塑膠製品製造業、33其他製造業,220塑膠製品、332醫療器材及用品
明晟企業社,臺中市梧棲區永安里,獨資,92年,生產中,29機械設備製造業,292其他專用機械設備
青果紙袋有限公司,雲林縣虎尾鎮惠來里,有限公司,94年,生產中,15紙漿、紙及紙製品製造業,152瓦楞紙板及紙容器
亦嘉實業有限公司建國廠,新北市新莊區建安里,有限公司,110年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、254金屬加工處理、259其他金屬製品、291金屬加工用機械設備、293通用機械設備
美全五金工業有限公司二廠,彰化縣秀水鄉安溪村,有限公司,109年,生產中,30汽車及其零件製造業,303汽車零件
鴻吉企業社牛埔廠,新竹市香山區埔前里,獨資,110年,生產中,22塑膠製品製造業,220塑膠製品
芸鼎食品有限公司,新北市五股區興珍里,有限公司,110年,生產中,08食品製造業,081肉類加工
承浦企業有限公司新吉廠,臺南市安南區佃東里,有限公司,110年,生產中,22塑膠製品製造業、29機械設備製造業,220塑膠製品、293通用機械設備
一豆實業有限公司(土城廠),新北市土城區永寧里,有限公司,93年,生產中,08食品製造業、09飲料製造業,083蔬果加工、092非酒精飲料
萬野企業社一廠,臺中市龍井區忠和里,合夥,110年,生產中,25金屬製品製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,259其他金屬製品、303汽車零件、312機車及其零件
陳耀訓麵包埠,臺北市松山區民有里,獨資,110年,生產中,08食品製造業,089其他食品
海端科技有限公司,彰化縣埔心鄉瓦中村,有限公司,110年,生產中,29機械設備製造業,291金屬加工用機械設備
詹記花生芝?糖,高雄市鼓山區樹德里,獨資,110年,生產中,08食品製造業,089其他食品
鏵塑股份有限公司,新北市五股區民義里,股份有限公司,103年,生產中,22塑膠製品製造業,220塑膠製品
永新金屬企業行,臺中市潭子區福仁里,獨資,110年,生產中,25金屬製品製造業,252金屬結構及建築組件
原億企業社工廠,彰化縣和美鎮好修里,獨資,109年,生產中,25金屬製品製造業,252金屬結構及建築組件、254金屬加工處理
信玖渼玻璃實業有限公司彰一廠,彰化縣彰化市磚?里,有限公司,109年,生產中,23非金屬礦物製品製造業,231玻璃及其製品
永得工業社工廠,彰化縣北斗鎮東光里,獨資,110年,生產中,25金屬製品製造業、31其他運輸工具及其零件製造業,259其他金屬製品、313自行車及其零件
利肯化工實業有限公司,臺中市大甲區庄美里,有限公司,74年,生產中,19其他化學製品製造業,193清潔用品及化粧品
廣泉工業有限公司,彰化縣鹿港鎮東石里,有限公司,110年,生產中,19其他化學製品製造業,199未分類其他化學製品
苗栗縣公館鄉農會,苗栗縣公館鄉中義村,農會組織,99年,生產中,09飲料製造業,091酒精飲料
台灣三木普利股份有限公司,臺中市大雅區秀山里,股份有限公司,110年,生產中,29機械設備製造業,293通用機械設備
俊全實業廠股份有限公司第二廠,臺中市沙鹿區埔子里,股份有限公司,74年,生產中,13皮革、毛皮及其製品製造業、33其他製造業,130皮革、毛皮及其製品、331育樂用品
國繼工業社,新北市土城區大安里,獨資,86年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
銳展科技股份有限公司,桃園市龜山區南上里,股份有限公司,84年,生產中,26電子零組件製造業,263印刷電路板
正達國際光電股份有限公司南科分公司二廠,臺南市新市區豐華里,本國公司之分公司,100年,生產中,23非金屬礦物製品製造業、26電子零組件製造業,231玻璃及其製品、264光電材料及元件
豐源生生技股份有限公司南科廠,高雄市路竹區北嶺里,股份有限公司,109年,生產中,33其他製造業,332醫療器材及用品
郁鼎企業有限公司二廠,高雄市岡山區灣裡里,有限公司,111年,生產中,25金屬製品製造業,259其他金屬製品
新創醫聯生技股份有限公司中工廠,臺中市南屯區寶山里,股份有限公司,110年,生產中,33其他製造業,332醫療器材及用品
?仕得實業股份有限公司,臺中市太平區宜欣里,股份有限公司,102年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、259其他金屬製品、293通用機械設備
昶昱模具工業股份有限公司,桃園市八德區茄苳里,股份有限公司,78年,生產中,29機械設備製造業、26電子零組件製造業,293通用機械設備、269其他電子零組件
床的世界股份有限公司中壢廠,桃園市中壢區內定里,股份有限公司,110年,生產中,32家具製造業,322金屬家具
欣南工業社,彰化縣彰化市南安里,合夥,106年,生產中,25金屬製品製造業,259其他金屬製品
春輪企業股份有限公司工廠,臺南市仁德區一甲里,股份有限公司,91年,生產中,30汽車及其零件製造業、31其他運輸工具及其零件製造業,312機車及其零件、303汽車零件
臺中市清水區農會,臺中市清水區高南里,農會組織,108年,生產中,08食品製造業,086碾榖、磨粉及澱粉製品
東舜電子股份有限公司,新北市汐止區樟樹里,股份有限公司,110年,生產中,26電子零組件製造業,269其他電子零組件
信義建材股份有限公司二廠,彰化縣大城鄉上山村,股份有限公司,110年,生產中,23非金屬礦物製品製造業,233水泥及其製品
台灣德聯高科股份有限公司楊梅廠,桃園市楊梅區瑞原里,股份有限公司,84年,生產中,26電子零組件製造業,269其他電子零組件
大興電線電纜股份有限公司,新北市土城區大安里,股份有限公司,68年,生產中,28電力設備及配備製造業,283電線及配線器材、289其他電力設備及配備
京沅鎢業科技有限公司,屏東縣枋寮鄉東海村,有限公司,110年,生產中,25金屬製品製造業,254金屬加工處理
全家福股份有限公司,新北市五股區福德里,股份有限公司,103年,生產中,12成衣及服飾品製造業、12成衣及服飾品製造業,121成衣、123服飾品
乾豐機械廠股份有限公司,新北市三重區中興里,股份有限公司,73年,生產中,29機械設備製造業,292其他專用機械設備
矽谷能源股份有限公司,基隆市安樂區中崙里,股份有限公司,109年,生產中,28電力設備及配備製造業、28電力設備及配備製造業,282電池
紅日應用材料有限公司,新竹縣竹東鎮雞林里,有限公司,110年,生產中,23非金屬礦物製品製造業,232耐火、黏土建材及其他陶瓷製品
升育鋼鐵股份有限公司,高雄市岡山區本洲里,股份有限公司,95年,生產中,24基本金屬製造業,241鋼鐵
台灣金振盛企業有限公司岡山廠,高雄市岡山區本洲里,有限公司,96年,生產中,25金屬製品製造業,259其他金屬製品
大吉汽車企業股份有限公司岡山廠,高雄市岡山區本洲里,股份有限公司,95年,生產中,30汽車及其零件製造業,301汽車、302車體、303汽車零件
啟凱螺絲工廠股份有限公司,高雄市岡山區本洲里,股份有限公司,95年,生產中,25金屬製品製造業,259其他金屬製品
建達五金工業有限公司岡山廠,高雄市岡山區本洲里,有限公司,95年,生產中,25金屬製品製造業,259其他金屬製品
郁成股份有限公司,高雄市岡山區本洲里,股份有限公司,95年,生產中,25金屬製品製造業,259其他金屬製品
亞太精鍍股份有限公司,高雄市岡山區本洲里,股份有限公司,95年,生產中,25金屬製品製造業,254金屬加工處理
大寶精密工具股份有限公司本洲廠,高雄市岡山區本洲里,股份有限公司,95年,生產中,29機械設備製造業、25金屬製品製造業,291金屬加工用機械設備、293通用機械設備
蘭州工程股份有限公司,高雄市岡山區本洲里,股份有限公司,95年,生產中,24基本金屬製造業、25金屬製品製造業,241鋼鐵、252金屬結構及建築組件
弘渝企業有限公司江山廠,高雄市大寮區江山里,有限公司,110年,生產中,28電力設備及配備製造業,281發電、輸電及配電機械
利浦電子股份有限公司二廠,新北市中和區平河里,股份有限公司,111年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、254金屬加工處理、259其他金屬製品、291金屬加工用機械設備、293通用機械設備
建大鋼鐵廠有限公司,新北市新莊區思源里,有限公司,80年,生產中,29機械設備製造業,291金屬加工用機械設備、293通用機械設備
勝盟機械有限公司,苗栗縣造橋鄉龍昇村,有限公司,94年,生產中,30汽車及其零件製造業,301汽車、302車體、303汽車零件
亞東預拌混凝土股份有限公司汐止廠,新北市汐止區樟樹里,股份有限公司,76年,生產中,23非金屬礦物製品製造業,233水泥及其製品
樺奕塑膠工業股份有限公司,桃園市觀音區大潭里,股份有限公司,106年,生產中,22塑膠製品製造業,220塑膠製品
富樂實業股份有限公司,雲林縣虎尾鎮中溪里,股份有限公司,109年,生產中,11紡織業,115紡織品
允偉興業股份有限公司,高雄市大寮區過溪里,股份有限公司,83年,生產中,08食品製造業,081肉類加工、082水產加工、083蔬果加工、089其他食品
進昇金屬有限公司,苗栗縣通霄鎮南和里,有限公司,102年,生產中,25金屬製品製造業,253金屬容器
福登塑膠有限公司,臺南市仁德區仁義里,有限公司,110年,生產中,22塑膠製品製造業,220塑膠製品
台灣浩壹股份有限公司仁和廠,南投縣南投市永豐里,股份有限公司,103年,生產中,25金屬製品製造業,254金屬加工處理、259其他金屬製品
嵩贊油封工業股份有限公司三廠,南投縣南投市,股份有限公司,107年,生產中,21橡膠製品製造業,210橡膠製品
艾博大企業股份有限公司第二廠,南投縣南投市永豐里,股份有限公司,107年,生產中,08食品製造業,086碾榖、磨粉及澱粉製品、089其他食品
聖民精密企業有限公司,臺中市太平區太平里,有限公司,75年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、259其他金屬製品、293通用機械設備
樺正實業股份有限公司,嘉義縣民雄鄉北斗村,股份有限公司,86年,生產中,18化學材料及肥料製造業,184塑膠及合成橡膠原料
誠恩國際有限公司三義廠,苗栗縣三義鄉雙湖村,有限公司,106年,生產中,29機械設備製造業、22塑膠製品製造業,293通用機械設備、220塑膠製品
亞弘興實業有限公司,臺中市龍井區三德里,有限公司,109年,生產中,22塑膠製品製造業、33其他製造業,220塑膠製品、339未分類其他製品
享泰鋼鐵有限公司二廠,臺中市烏日區五光里,有限公司,110年,生產中,25金屬製品製造業,254金屬加工處理
展誠精密科技有限公司,臺中市太平區建興里,有限公司,110年,生產中,25金屬製品製造業、29機械設備製造業,253金屬容器、254金屬加工處理、259其他金屬製品、293通用機械設備
正禾工程有限公司,臺南市鹽水區橋南里,有限公司,99年,生產中,25金屬製品製造業,252金屬結構及建築組件
源結工具工業股份有限公司,高雄市大社區保社里,股份有限公司,79年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具、259其他金屬製品
台灣衡器有限公司,新北市五股區興珍里,有限公司,110年,生產中,27電腦、電子產品及光學製品製造業,275量測、導航、控制設備及鐘錶
廉喬金屬股份有限公司,桃園市龜山區嶺頂里,股份有限公司,100年,生產中,25金屬製品製造業、27電腦、電子產品及光學製品製造業、29機械設備製造業,254金屬加工處理、259其他金屬製品、271電腦及其週邊設備、293通用機械設備
東?企業股份有限公司桃園廠,桃園市桃園區龍祥里,股份有限公司,101年,生產中,30汽車及其零件製造業、31其他運輸工具及其零件製造業,303汽車零件、312機車及其零件、319未分類其他運輸工具及其零件
東發生物科技製藥股份有限公司,屏東縣屏東市橋南里,股份有限公司,75年,生產中,20藥品及醫用化學製品製造業、19其他化學製品製造業,200藥品及醫用化學製品、193清潔用品及化粧品
積順企業有限公司,彰化縣和美鎮詔安里,有限公司,86年,生產中,28電力設備及配備製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,289其他電力設備及配備、303汽車零件、312機車及其零件、313自行車及其零件
台灣安川電機股份有限公司中科廠,臺中市西屯區林厝里,股份有限公司,110年,生產中,29機械設備製造業,293通用機械設備
傑聖實業股份有限公司,臺中市南屯區寶山里,股份有限公司,74年,生產中,33其他製造業、23非金屬礦物製品製造業,331育樂用品、232耐火、黏土建材及其他陶瓷製品
立淵機械股份有限公司,南投縣草屯鎮,股份有限公司,90年,生產中,25金屬製品製造業、29機械設備製造業、31其他運輸工具及其零件製造業,259其他金屬製品、293通用機械設備、313自行車及其零件、319未分類其他運輸工具及其零件、312機車及其零件
錦源鑄造工業股份有限公司,桃園市觀音區樹林里,股份有限公司,84年,生產中,24基本金屬製造業、23非金屬礦物製品製造業,241鋼鐵、233水泥及其製品
天倚國際貿易有限公司,彰化縣線西鄉下犁村,有限公司,104年,生產中,11紡織業、12成衣及服飾品製造業,112織布、123服飾品
慶展螺絲工業股份有限公司岡山一廠,高雄市岡山區大莊里,股份有限公司,106年,生產中,25金屬製品製造業,259其他金屬製品
燁輝企業股份有限公司高雄一廠,高雄市橋頭區芋寮里,股份有限公司,79年,生產中,25金屬製品製造業、29機械設備製造業、18化學材料及肥料製造業、24基本金屬製造業,254金屬加工處理、259其他金屬製品、293通用機械設備、181化學原材料、249其他基本金屬
鉅銅企業股份有限公司二廠,彰化縣鹿港鎮溝墘里,股份有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
榮興企業社南投廠,南投縣草屯鎮新庄里,合夥,110年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
高禎實業有限公司二廠,臺中市龍井區龍津里,有限公司,109年,生產中,33其他製造業,332醫療器材及用品
能能興業股份有限公司,桃園市觀音區草漯里,股份有限公司,85年,生產中,11紡織業,114染整
玖合彩藝企業有限公司工廠,彰化縣永靖鄉獨鰲村,有限公司,110年,生產中,25金屬製品製造業,254金屬加工處理
建準電機工業股份有限公司運通二廠,高雄市前鎮區信義里,股份有限公司,88年,生產中,28電力設備及配備製造業,283電線及配線器材、289其他電力設備及配備
勁太企業有限公司工廠,臺中市潭子區栗林里,有限公司,110年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
信達企業社二廠,彰化縣秀水鄉陝西村,獨資,110年,生產中,25金屬製品製造業,259其他金屬製品
弘光環保有限公司,屏東縣長治鄉繁華村,有限公司,95年,生產中,33其他製造業、25金屬製品製造業、23非金屬礦物製品製造業、22塑膠製品製造業,339未分類其他製品、259其他金屬製品、232耐火、黏土建材及其他陶瓷製品、220塑膠製品
鼎合股份有限公司,臺東縣臺東市豐樂里,股份有限公司,82年,生產中,25金屬製品製造業,252金屬結構及建築組件
萬昌科技有限公司,桃園市蘆竹區長興里,有限公司,101年,生產中,26電子零組件製造業,263印刷電路板
盛匯工業股份有限公司東二廠,高雄市岡山區本洲里,股份有限公司,106年,生產中,25金屬製品製造業,259其他金屬製品
台灣日電產三協股份有限公司,高雄市前鎮區鎮北里,股份有限公司,65年,生產中,26電子零組件製造業、29機械設備製造業,269其他電子零組件、293通用機械設備
上將環保服務有限公司工廠,臺南市新營區中營里,有限公司,110年,生產中,25金屬製品製造業,259其他金屬製品
尚品食品有限公司,臺南市永康區蔦松里,有限公司,111年,生產中,08食品製造業,081肉類加工
員彰金屬工業股份有限公司彰濱二廠,彰化縣鹿港鎮東石里,股份有限公司,110年,生產中,25金屬製品製造業,254金屬加工處理
惠康百貨股份有限公司大園生鮮廠,桃園市大園區田心里,股份有限公司,103年,生產中,08食品製造業,081肉類加工、082水產加工、083蔬果加工
鍠旺科技股份有限公司,桃園市蘆竹區內厝里,股份有限公司,110年,生產中,25金屬製品製造業,254金屬加工處理
慶威企業社,新北市中和區中原里,獨資,110年,生產中,15紙漿、紙及紙製品製造業、16印刷及資料儲存媒體複製業,152瓦楞紙板及紙容器、160印刷及資料儲存媒體複製
永棧鑄造工業股份有限公司,臺中市烏日區螺潭里,股份有限公司,110年,生產中,24基本金屬製造業,241鋼鐵
環好工業有限公司,桃園市平鎮區平南里,有限公司,83年,生產中,22塑膠製品製造業、28電力設備及配備製造業、29機械設備製造業,293通用機械設備、220塑膠製品、289其他電力設備及配備
達易工業股份有限公司,桃園市楊梅區大平里,股份有限公司,110年,生產中,25金屬製品製造業,252金屬結構及建築組件、254金屬加工處理
富海康國際有限公司,新北市新莊區頭前里,有限公司,110年,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製
騏勵開發股份有限公司,臺中市大肚區頂街里,股份有限公司,105年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具、259其他金屬製品
鴻順印刷股份有限公司仁武廠,高雄市仁武區仁武里,股份有限公司,110年,生產中,16印刷及資料儲存媒體複製業、16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製
豐原環保科技有限公司,臺中市豐原區翁子里,有限公司,110年,生產中,25金屬製品製造業,259其他金屬製品
順石松有限公司南崁廠,桃園市蘆竹區長興里,有限公司,110年,生產中,29機械設備製造業,292其他專用機械設備
美商昱方科技股份有限公司台灣分公司,新北市新店區江陵里,外國公司之分公司,97年,生產中,26電子零組件製造業、27電腦、電子產品及光學製品製造業、28電力設備及配備製造業,264光電材料及元件、269其他電子零組件、271電腦及其週邊設備、272通訊傳播設備、289其他電力設備及配備
春達電動工具股份有限公司,臺中市太平區德隆里,股份有限公司,110年,生產中,29機械設備製造業,293通用機械設備
震元有限公司觀音廠,桃園市觀音區大潭里,有限公司,111年,生產中,22塑膠製品製造業,220塑膠製品
華格食品烘焙坊,宜蘭縣羅東鎮東安里,合夥,102年,生產中,08食品製造業,089其他食品
御成工業有限公司,臺中市烏日區前竹里,有限公司,87年,生產中,29機械設備製造業,293通用機械設備
加逢實業股份有限公司,新北市樹林區三福里,股份有限公司,73年,生產中,22塑膠製品製造業,220塑膠製品
欣訊科技股份有限公司(汐止二廠,新北市汐止區智慧里,股份有限公司,110年,生產中,25金屬製品製造業、26電子零組件製造業,251金屬刀具、手工具及模具、269其他電子零組件
銘偉齒輪工業社,臺中市太平區中平里,獨資,107年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
優益系統科技股份有限公司總廠,新北市蘆洲區得仁里,股份有限公司,110年,生產中,26電子零組件製造業,269其他電子零組件
普濟有限公司,新北市樹林區圳生里,有限公司,103年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
鑽全實業股份有限公司一廠,臺中市西屯區協和里,股份有限公司,82年,生產中,29機械設備製造業,291金屬加工用機械設備
巨毅金屬工業股份有限公司,臺中市大甲區日南里,股份有限公司,89年,生產中,31其他運輸工具及其零件製造業、25金屬製品製造業,254金屬加工處理、312機車及其零件
伸欣精密有限公司,臺中市太平區宜欣里,有限公司,103年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、259其他金屬製品、293通用機械設備
申庚企業有限公司,新北市樹林區彭厝里,有限公司,105年,生產中,25金屬製品製造業、29機械設備製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,259其他金屬製品、293通用機械設備、303汽車零件、312機車及其零件
威勝營造有限公司,苗栗縣公館鄉五谷村,有限公司,105年,生產中,25金屬製品製造業,252金屬結構及建築組件
泰安磨材股份有限公司,嘉義縣民雄鄉興中村,股份有限公司,70年,生產中,19其他化學製品製造業、22塑膠製品製造業、23非金屬礦物製品製造業,199未分類其他化學製品、220塑膠製品、232耐火、黏土建材及其他陶瓷製品、239其他非金屬礦物製品
敬鵬工業股份有限公司長榮廠,桃園市蘆竹區長興里,股份有限公司,93年,生產中,26電子零組件製造業、25金屬製品製造業,263印刷電路板、251金屬刀具、手工具及模具
宸鴻工程有限公司工廠,彰化縣鹿港鎮東石里,有限公司,110年,生產中,23非金屬礦物製品製造業、25金屬製品製造業,234石材製品、252金屬結構及建築組件
益寧精密股份有限公司,臺北市南港區玉成里,股份有限公司,103年,生產中,25金屬製品製造業、27電腦、電子產品及光學製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、275量測、導航、控制設備及鐘錶、292其他專用機械設備
仕益科技股份有限公司,桃園市楊梅區中山里,股份有限公司,110年,生產中,22塑膠製品製造業、25金屬製品製造業,220塑膠製品、259其他金屬製品
大橋鍍金工廠股份有限公司,臺北市大同區至聖里,股份有限公司,46年,生產中,25金屬製品製造業,254金屬加工處理
惠答工業有限公司,新北市樹林區潭底里,有限公司,66年,生產中,30汽車及其零件製造業、31其他運輸工具及其零件製造業、25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備、302車體、312機車及其零件
順旭有限公司,宜蘭縣蘇澳鎮頂寮里,有限公司,111年,生產中,08食品製造業,089其他食品
源生陶瓷股份有限公司,新北市鶯歌區中湖里,股份有限公司,68年,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品、232耐火、黏土建材及其他陶瓷製品
富豐鑄造廠二廠,南投縣草屯鎮加老里,合夥,110年,生產中,29機械設備製造業,293通用機械設備
鴻耀開發工業有限公司,嘉義縣溪口鄉妙崙村,有限公司,94年,生產中,32家具製造業、25金屬製品製造業、32家具製造業,251金屬刀具、手工具及模具、252金屬結構及建築組件、322金屬家具
達貴五金工具開發有限公司,臺中市大里區塗城里,有限公司,110年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具、259其他金屬製品
震鋼精密科技股份有限公司龍安廠,桃園市蘆竹區新興里,股份有限公司,110年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、291金屬加工用機械設備、292其他專用機械設備、293通用機械設備
國維實業有限公司嘉興廠,高雄市岡山區嘉興里,有限公司,79年,生產中,25金屬製品製造業,259其他金屬製品
太潤生技股份有限公司,臺南市新化區護國里,股份有限公司,100年,生產中,08食品製造業,089其他食品
金元股份有限公司,桃園市觀音區廣興里,股份有限公司,82年,生產中,23非金屬礦物製品製造業,232耐火、黏土建材及其他陶瓷製品
日禕紡織企業股份有限公司,桃園市觀音區上大里,股份有限公司,99年,生產中,11紡織業,115紡織品、114染整、112織布
生泰工業股份有限公司,臺南市安南區安東里,股份有限公司,61年,生產中,25金屬製品製造業、22塑膠製品製造業、24基本金屬製造業,259其他金屬製品、252金屬結構及建築組件、220塑膠製品、242鋁
力雅廷企業有限公司觀音廠,桃園市觀音區新坡里,有限公司,95年,生產中,32家具製造業、33其他製造業,321非金屬家具、322金屬家具、339未分類其他製品
又興企業股份有限公司一廠,新北市土城區大安里,股份有限公司,85年,生產中,22塑膠製品製造業,220塑膠製品
台北貿易股份有限公司觀音廠,桃園市觀音區樹林里,股份有限公司,84年,生產中,29機械設備製造業、27電腦、電子產品及光學製品製造業,293通用機械設備、275量測、導航、控制設備及鐘錶
宜通股份有限公司,桃園市觀音區草漯里,股份有限公司,84年,生產中,25金屬製品製造業,259其他金屬製品
百德機械股份有限公司,臺中市大甲區日南里,股份有限公司,95年,生產中,29機械設備製造業,291金屬加工用機械設備
池上米東竹碾米工廠,花蓮縣富里鄉竹田村,獨資,61年,生產中,08食品製造業,086碾榖、磨粉及澱粉製品
順昱興業有限公司,臺中市大安區福興里,有限公司,110年,生產中,29機械設備製造業,293通用機械設備
德揚科技股份有限公司,新竹縣湖口鄉鳳山村,股份有限公司,92年,生產中,25金屬製品製造業,254金屬加工處理
科嶠工業股份有限公司桃園廠,桃園市龜山區山頂里,股份有限公司,97年,生產中,29機械設備製造業,292其他專用機械設備、293通用機械設備
永易立股份有限公司精科廠,臺中市南屯區春社里,股份有限公司,110年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、259其他金屬製品、293通用機械設備
原富精密工業有限公司,臺中市大雅區雅楓里,有限公司,110年,生產中,25金屬製品製造業,259其他金屬製品
綠德光電股份有限公司,桃園市蘆竹區內厝里,股份有限公司,110年,生產中,27電腦、電子產品及光學製品製造業,271電腦及其週邊設備
健原科技有限公司,彰化縣彰化市茄南里,有限公司,101年,生產中,22塑膠製品製造業、33其他製造業,220塑膠製品、332醫療器材及用品
金吉成企業社,臺南市官田區二鎮里,獨資,110年,生產中,25金屬製品製造業,254金屬加工處理
屏東縣東港區漁會冷凍廠,屏東縣東港鎮朝安里,其他,77年,生產中,08食品製造業,082水產加工、089其他食品
好思佳粧業股份有限公司,臺南市北區大和里,股份有限公司,80年,生產中,19其他化學製品製造業,193清潔用品及化粧品
東和模具工業股份有限公司,桃園市桃園區泰山里,股份有限公司,66年,生產中,29機械設備製造業,293通用機械設備、291金屬加工用機械設備
協蕊實業股份有限公司,桃園市桃園區汴洲里,股份有限公司,68年,生產中,11紡織業,113不織布
莊盟實業有限公司仁德廠,臺南市仁德區一甲里,有限公司,96年,生產中,31其他運輸工具及其零件製造業,313自行車及其零件
