incineratorname,reportyear,generalwaste,bizgeneralwaste,incinprocqt,buttomdustqt,flyashsolidqt,eqeffgasacqt,actelecqt,actsoldelecqt,actsoldelecpct,soldelecincome,operationhour,nooprthour,dsnprocqt,dustlandfillqt,applyno
臺北市政府環境保護局北投垃圾焚化廠,2020,127790.9,280972.2,398801.8,44796.13,16109.54,102402,201578.6,146390.4,72.622000,259823.9,25920,9216,,0,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2019,165897.3,301928.1,472580.7,53858.52,16339.34,237699,237726.9,179092.4,75.335000,318537,29248,5792,,0,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2018,123799.9,330318,467008.5,50887.64,17576.65,136031,221160.1,164433.6,74.350000,313405.9,29147,5893,,0,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2017,230299.7,181748.2,401625.9,48940.37,15916.93,150275,188608.1,140500.8,74.494000,247907.1,28682,6358,,0,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2016,213569.5,180138.3,377565.9,50055.18,14178.12,142200,167857.6,121123.2,72.158000,220438.8,25110,10026,,0,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2015,207887.7,167517.5,374874.8,50376.98,10116.73,124115,164209,118622.4,72.239000,254703.3,24990,10050,,0,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2014,192371.5,152132.7,343783.3,50652.04,6500.35,111183,145260.1,101198.4,69.667000,230335.8,24089,10951,,0,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2013,189746.7,193796.2,373289.5,78080.62,0,119936,137098.2,88664.18,64.672000,186548.8,25266,9774,,0,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2012,185233.2,197095.2,375350.8,86919.74,0,143094,136225.6,85371.56,62.669000,174280.9,24701,10435,,0,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2011,194176.9,218264.7,405770.8,98408.74,0,143262,140385.9,84549.54,60.227000,174766,25030,10010,,0,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2010,200111.1,127953,326227.3,63942.86,13227.66,128808,125192.9,75094.02,59.983000,151737.6,19669,15371,,13227.66,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2009,205026,101214.4,303475.8,49969.81,11740.89,127284,119983.4,71919.66,59.941000,137607.7,18257,16783,,11740.89,WEPA4427
