sampledate,areaname,county,siteid,sitename,sampleaddress,sampleitem,samplevalue,itemunit
2016/05/09,竹苗空品區,新竹市,24,新竹站,東門國小,戴奧辛,0.0155225,"pg I-TEQ/m3"
2016/05/09,北部空品區,新竹縣,22,湖口站,信勢國小,戴奧辛,0.013249,"pg I-TEQ/m3"
2016/05/09,北部空品區,桃園市,17,桃園站,桃園農工,戴奧辛,0.033628,"pg I-TEQ/m3"
2016/05/09,北部空品區,台北市,15,松山站,松山國小,戴奧辛,0.0098951,"pg I-TEQ/m3"
2016/05/09,北部空品區,新北市,3,萬里站,綜合商場,戴奧辛,0.0081343,"pg I-TEQ/m3"
2016/05/09,北部空品區,新北市,2,汐止站,忠厚市場,戴奧辛,0.0086023,"pg I-TEQ/m3"
2016/03/21,宜蘭空品區,宜蘭縣,65,宜蘭站,復興國中,戴奧辛,0.0062063,"pg I-TEQ/m3"
2016/03/25,花東空品區,台東縣,62,台東站,台東縣政府,戴奧辛,0.0145500578703704,"pg I-TEQ/m3"
2016/03/21,花東空品區,花蓮縣,63,花蓮站,中正國小,戴奧辛,0.0080201,"pg I-TEQ/m3"
2016/03/21,高屏空品區,高雄市,53,楠梓站,楠梓國小,戴奧辛,0.0488626342793009,"pg I-TEQ/m3"
2016/03/21,雲嘉南空品區,高雄市,49,仁武站,八卦國小,戴奧辛,0.0499648644179894,"pg I-TEQ/m3"
2016/03/25,雲嘉南空品區,台南市,46,台南站,中山國中,戴奧辛,0.0562230111277196,"pg I-TEQ/m3"
2016/03/21,雲嘉南空品區,台南市,43,新營站,新營國小,戴奧辛,0.04575,"pg I-TEQ/m3"
2016/03/25,雲嘉南空品區,嘉義市,42,嘉義站,嘉義大學新民校區,戴奧辛,0.0538657407407408,"pg I-TEQ/m3"
2016/03/21,雲嘉南空品區,嘉義縣,39,新港站,新港國小,戴奧辛,0.0560185185185185,"pg I-TEQ/m3"
2016/03/28,中部空品區,雲林縣,38,崙背站,崙背國中,戴奧辛,0.084874,"pg I-TEQ/m3"
2016/03/28,中部空品區,南投縣,36,南投站,康壽國小,戴奧辛,0.0300805,"pg I-TEQ/m3"
2016/03/28,中部空品區,彰化縣,33,彰化站,延平社區活動中心,戴奧辛,0.0340368,"pg I-TEQ/m3"
2016/03/28,中部空品區,台中市,32,西屯站,台中啟聰學校,戴奧辛,0.0438411,"pg I-TEQ/m3"
