sampledate,areaname,county,siteid,sitename,sampleaddress,sampleitem,samplevalue,itemunit
2018/03/26,高屏空品區,屏東縣,59,屏東站,中正國小,戴奧辛,0.0347493961352657,"pg I-TEQ/m3"
2018/03/26,高屏空品區,高雄市,53,楠梓站,楠梓國小,戴奧辛,0.0395558385896814,"pg I-TEQ/m3"
2018/03/26,雲嘉南空品區,高雄市,49,仁武站,八卦國小,戴奧辛,0.0366428170594837,"pg I-TEQ/m3"
2018/03/20,雲嘉南空品區,台南市,46,台南站,中山國中,戴奧辛,0.0342464539007092,"pg I-TEQ/m3"
2018/03/20,雲嘉南空品區,台南市,43,新營站,新營國小,戴奧辛,0.0347365661601773,"pg I-TEQ/m3"
2018/03/20,雲嘉南空品區,嘉義市,42,嘉義站,嘉義大學新民校區,戴奧辛,0.0530112462247656,"pg I-TEQ/m3"
2018/03/20,雲嘉南空品區,嘉義縣,39,新港站,新港國小,戴奧辛,0.0419371240899019,"pg I-TEQ/m3"
2018/03/19,中部空品區,雲林縣,38,崙背站,崙背國中,戴奧辛,0.0123884,"pg I-TEQ/m3"
2018/03/19,中部空品區,南投縣,36,南投站,康壽國小,戴奧辛,0.0250248,"pg I-TEQ/m3"
2018/03/19,中部空品區,彰化縣,33,彰化站,延平社區活動中心,戴奧辛,0.0330762,"pg I-TEQ/m3"
2018/03/19,中部空品區,台中市,32,西屯站,台中啟聰學校,戴奧辛,0.0163738,"pg I-TEQ/m3"
2018/03/19,中部空品區,台中市,30,大里站,大里市公所,戴奧辛,0.0271978,"pg I-TEQ/m3"
2018/03/19,竹苗空品區,苗栗縣,26,苗栗站,苗栗縣議會,戴奧辛,0.0167373,"pg I-TEQ/m3"
2018/03/19,竹苗空品區,新竹市,24,新竹站,東門國小,戴奧辛,0.023047,"pg I-TEQ/m3"
2018/03/19,北部空品區,新竹縣,22,湖口站,信勢國小,戴奧辛,0.0254013,"pg I-TEQ/m3"
2018/03/19,北部空品區,桃園市,17,桃園站,桃園農工,戴奧辛,0.0203465,"pg I-TEQ/m3"
2018/03/19,北部空品區,台北市,15,松山站,松山國小,戴奧辛,0.0146792,"pg I-TEQ/m3"
2018/03/19,北部空品區,新北市,2,汐止站,樟樹國小,戴奧辛,0.0144737,"pg I-TEQ/m3"
2018/03/19,北部空品區,新北市,3,萬里站,綜合商場,戴奧辛,0.0167717,"pg I-TEQ/m3"
2017/10/16,宜蘭空品區,宜蘭縣,65,宜蘭站,復興國中,戴奧辛,0.0037065,"pg I-TEQ/m3"
2017/10/16,花東空品區,花蓮縣,63,花蓮站,中正國小,戴奧辛,0.0028775,"pg I-TEQ/m3"
2017/10/23,花東空品區,台東縣,62,台東站,台東縣政府,戴奧辛,0.0140883504650025,"pg I-TEQ/m3"
2017/10/13,高屏空品區,屏東縣,59,屏東站,中正國小,戴奧辛,0.0563237910399482,"pg I-TEQ/m3"
2017/10/13,高屏空品區,高雄市,53,楠梓站,楠梓國小,戴奧辛,0.0319801354217654,"pg I-TEQ/m3"
2017/10/13,雲嘉南空品區,高雄市,49,仁武站,八卦國小,戴奧辛,0.0233623700454841,"pg I-TEQ/m3"
2017/10/27,雲嘉南空品區,台南市,46,台南站,中山國中,戴奧辛,0.0467279916081659,"pg I-TEQ/m3"
2017/10/27,雲嘉南空品區,台南市,43,新營站,新營國小,戴奧辛,0.044309358646708,"pg I-TEQ/m3"
2017/10/27,雲嘉南空品區,嘉義市,42,嘉義站,嘉義大學新民校區,戴奧辛,0.0525674792764098,"pg I-TEQ/m3"
2017/10/27,雲嘉南空品區,嘉義縣,39,新港站,新港國小,戴奧辛,0.0429108735444172,"pg I-TEQ/m3"
2017/10/23,中部空品區,雲林縣,38,崙背站,崙背國中,戴奧辛,0.032885,"pg I-TEQ/m3"
2017/10/23,中部空品區,南投縣,36,南投站,康壽國小,戴奧辛,0.021657,"pg I-TEQ/m3"
2017/10/23,中部空品區,彰化縣,33,彰化站,延平社區活動中心,戴奧辛,0.017286,"pg I-TEQ/m3"
2017/10/23,中部空品區,台中市,32,西屯站,台中啟聰學校,戴奧辛,0.0137855,"pg I-TEQ/m3"
2017/10/23,中部空品區,台中市,30,大里站,大里市公所,戴奧辛,0.0231183,"pg I-TEQ/m3"
2017/10/16,竹苗空品區,苗栗縣,26,苗栗站,苗栗縣議會,戴奧辛,0.0071944,"pg I-TEQ/m3"
2017/10/16,竹苗空品區,新竹市,24,新竹站,東門國小,戴奧辛,0.0123034,"pg I-TEQ/m3"
2017/10/16,北部空品區,新竹縣,22,湖口站,信勢國小,戴奧辛,0.0151009,"pg I-TEQ/m3"
2017/10/16,北部空品區,桃園市,17,桃園站,桃園農工,戴奧辛,0.008947,"pg I-TEQ/m3"
2017/10/16,北部空品區,台北市,15,松山站,松山國小,戴奧辛,0.1090902,"pg I-TEQ/m3"
2017/10/16,北部空品區,新北市,2,汐止站,樟樹國小,戴奧辛,0.0020237,"pg I-TEQ/m3"
2017/10/16,北部空品區,新北市,3,萬里站,綜合商場,戴奧辛,0.0060359,"pg I-TEQ/m3"
2017/08/07,宜蘭空品區,宜蘭縣,65,宜蘭站,復興國中,戴奧辛,0.0120479,"pg I-TEQ/m3"
2017/08/07,花東空品區,花蓮縣,63,花蓮站,中正國小,戴奧辛,0.0116166,"pg I-TEQ/m3"
2017/08/14,花東空品區,台東縣,62,台東站,台東縣政府,戴奧辛,0.0115549029205417,"pg I-TEQ/m3"
2017/08/18,高屏空品區,屏東縣,59,屏東站,中正國小,戴奧辛,0.0286025050806686,"pg I-TEQ/m3"
2017/08/18,高屏空品區,高雄市,53,楠梓站,楠梓國小,戴奧辛,0.0267814100949022,"pg I-TEQ/m3"
2017/08/18,雲嘉南空品區,高雄市,49,仁武站,八卦國小,戴奧辛,0.0313991314323173,"pg I-TEQ/m3"
2017/08/15,雲嘉南空品區,台南市,46,台南站,中山國中,戴奧辛,0.0150536223036223,"pg I-TEQ/m3"
2017/08/15,雲嘉南空品區,台南市,43,新營站,新營國小,戴奧辛,0.0120095291479821,"pg I-TEQ/m3"
2017/08/11,雲嘉南空品區,嘉義市,42,嘉義站,嘉義大學新民校區,戴奧辛,0.00849630880880881,"pg I-TEQ/m3"
2017/08/11,雲嘉南空品區,嘉義縣,39,新港站,新港國小,戴奧辛,0.0170443905874555,"pg I-TEQ/m3"
2017/08/01,中部空品區,雲林縣,38,崙背站,崙背國中,戴奧辛,0.0103,"pg I-TEQ/m3"
2017/08/01,中部空品區,南投縣,36,南投站,康壽國小,戴奧辛,0.0046603,"pg I-TEQ/m3"
2017/08/01,中部空品區,彰化縣,33,彰化站,延平社區活動中心,戴奧辛,0.0140268,"pg I-TEQ/m3"
2017/08/01,中部空品區,台中市,32,西屯站,台中啟聰學校,戴奧辛,0.0128342,"pg I-TEQ/m3"
2017/08/01,中部空品區,台中市,30,大里站,大里市公所,戴奧辛,0.0211131,"pg I-TEQ/m3"
2017/08/07,竹苗空品區,苗栗縣,26,苗栗站,苗栗縣議會,戴奧辛,0.0099228,"pg I-TEQ/m3"
2017/08/07,竹苗空品區,新竹市,24,新竹站,東門國小,戴奧辛,0.0116886,"pg I-TEQ/m3"
2017/08/07,北部空品區,新竹縣,22,湖口站,信勢國小,戴奧辛,0.0114263,"pg I-TEQ/m3"
2017/08/07,北部空品區,桃園市,17,桃園站,桃園農工,戴奧辛,0.0225799,"pg I-TEQ/m3"
2017/08/07,北部空品區,台北市,15,松山站,松山國小,戴奧辛,0.0134761,"pg I-TEQ/m3"
2017/08/07,北部空品區,新北市,2,汐止站,樟樹國小,戴奧辛,0.0143393,"pg I-TEQ/m3"
2017/08/07,北部空品區,新北市,3,萬里站,綜合商場,戴奧辛,0.0090771,"pg I-TEQ/m3"
2017/05/08,宜蘭空品區,宜蘭縣,65,宜蘭站,復興國中,戴奧辛,0.0074874,"pg I-TEQ/m3"
2017/05/08,花東空品區,花蓮縣,63,花蓮站,中正國小,戴奧辛,0.0086116,"pg I-TEQ/m3"
2017/05/14,花東空品區,台東縣,62,台東站,台東縣政府,戴奧辛,0.0124080206033848,"pg I-TEQ/m3"
2017/05/19,高屏空品區,屏東縣,59,屏東站,中正國小,戴奧辛,0.0277405349794239,"pg I-TEQ/m3"
2017/05/19,高屏空品區,高雄市,53,楠梓站,楠梓國小,戴奧辛,0.0284941361383146,"pg I-TEQ/m3"
2017/05/19,雲嘉南空品區,高雄市,49,仁武站,八卦國小,戴奧辛,0.0279613596280263,"pg I-TEQ/m3"
2017/05/15,雲嘉南空品區,台南市,46,台南站,中山國中,戴奧辛,0.0527296572397744,"pg I-TEQ/m3"
2017/05/15,雲嘉南空品區,台南市,43,新營站,新營國小,戴奧辛,0.0726277035431965,"pg I-TEQ/m3"
2017/05/15,雲嘉南空品區,嘉義市,42,嘉義站,嘉義大學新民校區,戴奧辛,0.0517586644460306,"pg I-TEQ/m3"
2017/05/15,雲嘉南空品區,嘉義縣,39,新港站,新港國小,戴奧辛,0.0584717717717718,"pg I-TEQ/m3"
2017/05/02,中部空品區,雲林縣,38,崙背站,崙背國中,戴奧辛,0.078753,"pg I-TEQ/m3"
2017/05/02,中部空品區,南投縣,36,南投站,康壽國小,戴奧辛,0.0231985,"pg I-TEQ/m3"
2017/05/02,中部空品區,彰化縣,33,彰化站,延平社區活動中心,戴奧辛,0.0502511,"pg I-TEQ/m3"
2017/05/02,中部空品區,台中市,32,西屯站,台中啟聰學校,戴奧辛,0.0427385,"pg I-TEQ/m3"
2017/05/02,中部空品區,台中市,30,大里站,大里市公所,戴奧辛,0.030539,"pg I-TEQ/m3"
2017/05/08,竹苗空品區,苗栗縣,26,苗栗站,苗栗縣議會,戴奧辛,0.0158404,"pg I-TEQ/m3"
2017/05/08,竹苗空品區,新竹市,24,新竹站,東門國小,戴奧辛,0.0164487,"pg I-TEQ/m3"
